"date","material","colada","prod"
2023-02-02,303466,"B00011755",132.6
2023-02-02,303466,"B00011756",127.5
2023-02-02,303466,"B00011757",122.4
2023-02-02,303466,"B00011758",132.6
2023-02-02,303466,"B00011759",132.6
2023-02-02,303466,"B00011760",130.05
2023-02-02,303466,"B00011761",130.05
2023-02-02,303466,"B00011762",135.15
2023-02-02,303466,"B00011763",132.6
2023-02-03,300490,"B00011766",127.96
2023-02-03,300490,"B00011767",122.476
2023-02-03,300490,"B00011768",129.788
2023-02-03,300490,"B00011769",124.304
2023-02-03,300490,"B00011770",127.96
2023-02-03,300490,"B00011771",127.96
2023-02-03,300490,"B00011772",121.94
2023-02-03,300490,"B00011773",118.3
2023-02-03,300490,"B00011774",127.4
2023-02-03,300490,"B00011775",123.76
2023-02-03,300490,"B00011776",127.4
2023-02-03,300490,"B00011777",129.22
2023-02-03,300490,"B00011778",145.6
2023-02-03,300490,"B00011779",140.14
2023-02-03,300490,"B00011783",132.86
2023-02-03,300490,"B00011784",127.4
2023-02-03,300490,"B00011785",127.4
2023-02-03,300490,"B00011786",136.5
2023-02-03,300490,"B00011787",127.4
2023-02-03,300490,"B00011788",123.76
2023-02-03,300490,"B00011789",134.68
2023-02-03,300490,"B00011790",103.74
2023-02-03,303951,"B00011780",134.68
2023-02-03,303951,"B00011781",132.86
2023-02-03,303951,"B00011782",127.4
2023-02-04,303661,"B00011807",112.88
2023-02-04,303661,"B00011808",132.634
2023-02-04,303661,"B00011809",141.1
2023-02-04,303661,"B00011810",104.414
2023-02-04,303661,"B00011811",126.99
2023-02-04,303661,"B00011812",104.34
2023-02-04,303661,"B00011813",107.16
2023-02-04,303661,"B00011814",115.62
2023-02-04,303710,"B00011791",127.08
2023-02-04,303710,"B00011792",127.08
2023-02-04,303710,"B00011793",135.552
2023-02-04,303710,"B00011794",132.728
2023-02-04,303710,"B00011795",135.552
2023-02-04,303710,"B00011796",132.728
2023-02-04,303710,"B00011797",132.54
2023-02-04,303710,"B00011798",135.36
2023-02-04,303710,"B00011799",141
2023-02-04,303710,"B00011800",118.524
2023-02-04,303710,"B00011801",124.168
2023-02-04,303710,"B00011802",115.702
2023-02-04,303710,"B00011803",169.32
2023-02-04,303710,"B00011804",104.414
2023-02-04,303710,"B00011805",138.278
2023-02-04,303710,"B00011806",166.38
2023-02-05,303661,"B00011815",112.8
2023-02-05,303661,"B00011816",126.855
2023-02-05,303661,"B00011817",129.674
2023-02-05,303661,"B00011818",135.312
2023-02-05,303661,"B00011819",132.493
2023-02-05,303661,"B00011820",129.72
2023-02-05,303661,"B00011821",129.72
2023-02-05,303661,"B00011822",157.92
2023-02-05,303661,"B00011823",107.16
2023-02-05,303661,"B00011824",129.72
2023-02-05,303661,"B00011825",132.54
2023-02-05,303661,"B00011826",132.54
2023-02-05,303661,"B00011827",132.54
2023-02-05,303661,"B00011828",132.54
2023-02-05,303661,"B00011829",132.634
2023-02-05,303661,"B00011830",132.634
2023-02-05,303661,"B00011831",126.99
2023-02-05,303661,"B00011832",124.168
2023-02-05,303661,"B00011833",95.948
2023-02-05,303661,"B00011834",180.48
2023-02-05,303661,"B00011835",95.88
2023-02-05,303661,"B00011836",124.08
2023-02-05,303661,"B00011837",126.9
2023-02-05,303661,"B00011838",126.99
2023-02-05,303661,"B00011839",129.812
2023-02-05,303661,"B00011840",124.168
2023-02-05,303661,"B00011841",129.812
2023-02-05,303661,"B00011842",124.168
2023-02-05,303661,"B00011843",129.72
2023-02-05,303661,"B00011844",132.54
2023-02-05,303661,"B00011845",126.9
2023-02-05,303661,"B00011846",124.08
2023-02-05,303661,"B00011847",126.5
2023-02-05,303661,"B00011848",42.3
2023-02-05,303661,"B00011849",56.4
2023-02-05,303661,"B00011850",163.56
2023-02-06,303452,"B00011851",135.36
2023-02-06,303452,"B00011852",169.2
2023-02-06,303452,"B00011853",112.8
2023-02-06,303452,"B00011854",135.312
2023-02-06,303452,"B00011855",140.95
2023-02-06,303452,"B00011856",140.95
2023-02-06,303452,"B00011857",138.131
2023-02-06,303452,"B00011858",135.312
2023-02-06,303452,"B00011859",132.54
2023-02-06,303452,"B00011860",129.72
2023-02-06,303452,"B00011861",132.54
2023-02-06,303452,"B00011862",135.36
2023-02-06,303452,"B00011863",138.18
2023-02-06,303452,"B00011864",135.14
2023-02-06,303452,"B00011865",135.36
2023-02-06,303452,"B00011866",129.34
2023-02-06,303480,"B00011867",168.82
2023-02-06,303661,"B00011868",106.172
2023-02-06,303661,"B00011869",131.318
2023-02-06,303661,"B00011870",128.524
2023-02-06,303661,"B00011871",131.318
2023-02-06,303661,"B00011872",120.142
2023-02-06,303661,"B00011873",134.112
2023-02-06,303661,"B00011874",122.936
